Day,ForecastedLogReturn
1,0.0005196210363697446
2,0.0005196210363697446
3,0.0005196210363697446
4,0.0005196210363697446
5,0.0005196210363697446
6,0.0005196210363697446
7,0.0005196210363697446
8,0.0005196210363697446
9,0.0005196210363697446
10,0.0005196210363697446
11,0.0005196210363697446
12,0.0005196210363697446
13,0.0005196210363697446
14,0.0005196210363697446
15,0.0005196210363697446
16,0.0005196210363697446
17,0.0005196210363697446
18,0.0005196210363697446
19,0.0005196210363697446
20,0.0005196210363697446
21,0.0005196210363697446
22,0.0005196210363697446
23,0.0005196210363697446
24,0.0005196210363697446
25,0.0005196210363697446
26,0.0005196210363697446
27,0.0005196210363697446
28,0.0005196210363697446
29,0.0005196210363697446
30,0.0005196210363697446
31,0.0005196210363697446
32,0.0005196210363697446
33,0.0005196210363697446
34,0.0005196210363697446
35,0.0005196210363697446
36,0.0005196210363697446
37,0.0005196210363697446
38,0.0005196210363697446
39,0.0005196210363697446
40,0.0005196210363697446
41,0.0005196210363697446
42,0.0005196210363697446
43,0.0005196210363697446
44,0.0005196210363697446
45,0.0005196210363697446
46,0.0005196210363697446
47,0.0005196210363697446
48,0.0005196210363697446
49,0.0005196210363697446
50,0.0005196210363697446
51,0.0005196210363697446
52,0.0005196210363697446
53,0.0005196210363697446
54,0.0005196210363697446
55,0.0005196210363697446
56,0.0005196210363697446
57,0.0005196210363697446
58,0.0005196210363697446
59,0.0005196210363697446
60,0.0005196210363697446
61,0.0005196210363697446
62,0.0005196210363697446
63,0.0005196210363697446
64,0.0005196210363697446
65,0.0005196210363697446
66,0.0005196210363697446
67,0.0005196210363697446
68,0.0005196210363697446
69,0.0005196210363697446
70,0.0005196210363697446
71,0.0005196210363697446
72,0.0005196210363697446
73,0.0005196210363697446
74,0.0005196210363697446
75,0.0005196210363697446
76,0.0005196210363697446
77,0.0005196210363697446
78,0.0005196210363697446
79,0.0005196210363697446
80,0.0005196210363697446
