Day,ForecastedLogReturn
1,-0.0005632888341138426
2,-0.0005632888341138426
3,-0.0005632888341138426
4,-0.0005632888341138426
5,-0.0005632888341138426
6,-0.0005632888341138426
7,-0.0005632888341138426
8,-0.0005632888341138426
9,-0.0005632888341138426
10,-0.0005632888341138426
11,-0.0005632888341138426
12,-0.0005632888341138426
13,-0.0005632888341138426
14,-0.0005632888341138426
15,-0.0005632888341138426
16,-0.0005632888341138426
17,-0.0005632888341138426
18,-0.0005632888341138426
19,-0.0005632888341138426
20,-0.0005632888341138426
21,-0.0005632888341138426
22,-0.0005632888341138426
23,-0.0005632888341138426
24,-0.0005632888341138426
25,-0.0005632888341138426
26,-0.0005632888341138426
27,-0.0005632888341138426
28,-0.0005632888341138426
29,-0.0005632888341138426
30,-0.0005632888341138426
31,-0.0005632888341138426
32,-0.0005632888341138426
33,-0.0005632888341138426
34,-0.0005632888341138426
35,-0.0005632888341138426
36,-0.0005632888341138426
37,-0.0005632888341138426
38,-0.0005632888341138426
39,-0.0005632888341138426
40,-0.0005632888341138426
41,-0.0005632888341138426
42,-0.0005632888341138426
43,-0.0005632888341138426
44,-0.0005632888341138426
45,-0.0005632888341138426
46,-0.0005632888341138426
47,-0.0005632888341138426
48,-0.0005632888341138426
49,-0.0005632888341138426
50,-0.0005632888341138426
51,-0.0005632888341138426
52,-0.0005632888341138426
53,-0.0005632888341138426
54,-0.0005632888341138426
55,-0.0005632888341138426
56,-0.0005632888341138426
57,-0.0005632888341138426
58,-0.0005632888341138426
59,-0.0005632888341138426
60,-0.0005632888341138426
61,-0.0005632888341138426
62,-0.0005632888341138426
63,-0.0005632888341138426
64,-0.0005632888341138426
65,-0.0005632888341138426
66,-0.0005632888341138426
67,-0.0005632888341138426
68,-0.0005632888341138426
69,-0.0005632888341138426
70,-0.0005632888341138426
71,-0.0005632888341138426
72,-0.0005632888341138426
73,-0.0005632888341138426
74,-0.0005632888341138426
75,-0.0005632888341138426
76,-0.0005632888341138426
77,-0.0005632888341138426
78,-0.0005632888341138426
79,-0.0005632888341138426
80,-0.0005632888341138426
